;turma;idSection;idStudent;idProblem;idAttempt;timeAttempt;isCorrectAnswer;answerCode;hasSkipped;idEvent;number;timeEvent;typeEvent;answerProblemLevelStudent;answerProblemLevelSystem;abuso;p1;p2;p3;p4
22;1;1;1;2;68;238;1;1;1;5;1;26626;1;2;3;1;0;1;0;0
23;1;1;1;2;68;238;1;1;1;7;3;26891;1;2;2;1;0;1;1;1
24;1;1;1;2;68;238;1;1;1;8;4;26891;1;2;1;1;1;0;0;0
25;1;1;1;2;68;238;1;1;1;8;4;26624;2;2;2;1;0;1;0;0
26;1;1;1;2;76;239;1;1;1;1;1;27412;2;2;2;1;1;1;0;1
27;1;1;1;2;76;239;1;1;1;6;2;26806;2;2;5;1;1;1;0;1
28;1;1;1;2;78;3;1;1;1;1;1;27169;2;2;2;1;1;0;0;1
29;1;1;1;2;82;180;1;1;1;17;1;26210;2;2;2;1;1;0;0;1
30;1;1;1;3;49;2;0;1;1;1;1;27951;2;2;5;1;1;0;0;1
31;1;1;1;3;49;2;0;1;1;9;1;26925;2;2;4;1;0;0;0;1
32;1;1;1;3;56;1;0;1;1;1;1;27940;2;2;1;1;1;1;0;1
33;1;1;1;3;61;0;0;1;1;1;1;27933;2;2;5;1;0;0;0;1
34;1;1;1;3;67;13;0;1;1;5;1;26636;2;2;2;1;0;1;0;0
35;1;1;1;3;67;13;1;1;1;12;4;26902;2;2;2;1;1;0;0;0
36;1;1;1;3;71;4;1;1;1;9;1;26393;2;2;2;1;0;1;1;1
37;1;1;1;3;80;2;1;1;1;1;1;27166;2;2;3;1;1;0;0;1
38;1;1;1;5;54;3;0;1;1;13;1;26915;2;2;3;1;1;0;0;1
39;1;1;1;5;54;3;0;1;1;17;1;26991;2;2;4;1;1;0;1;1
40;1;1;1;5;59;0;0;1;1;13;1;26905;2;2;3;1;0;0;0;1
41;1;1;1;5;73;0;1;1;1;13;1;26385;2;2;3;1;1;0;1;0
42;1;1;1;5;73;0;1;1;1;17;1;26461;2;2;4;1;1;0;1;0
43;1;1;1;5;75;1;1;1;1;5;1;26377;2;2;4;1;0;0;0;1
44;1;1;1;5;83;2;1;1;1;5;1;25947;2;2;5;1;0;0;1;0
45;1;1;2;1;363;3;0;1;1;1;1;49;2;2;5;0;1;1;0;0
46;1;1;2;1;394;288;1;1;1;1;1;47;2;1;5;0;0;0;1;0
47;1;1;2;1;394;288;1;1;1;1;1;36;2;1;4;0;0;1;1;1
48;1;1;2;1;394;288;1;1;1;4;4;49;2;1;1;0;1;1;0;1
49;1;1;2;1;430;2;1;1;1;9;1;43;2;1;4;0;0;1;0;0
50;1;1;2;1;3216;0;1;1;1;1;1;31;2;2;3;0;1;1;0;0
51;1;1;2;1;3216;0;1;1;1;9;1;56;2;2;5;0;1;1;1;1
52;1;1;2;1;3552;0;1;1;1;1;1;19;2;3;2;0;1;1;1;0
53;1;1;2;1;3552;0;1;1;1;4;4;18;2;3;2;0;0;1;0;0
54;1;1;2;1;3552;0;1;1;1;25;1;7;2;3;2;0;1;0;1;0
55;1;1;2;2;85;757;1;1;1;5;1;468;1;2;3;0;1;0;1;1
56;1;1;2;2;85;757;1;1;1;8;4;733;1;2;5;0;1;0;0;1
57;1;1;2;2;85;757;1;1;1;6;2;895;2;2;3;0;0;0;0;0
58;1;1;2;2;85;757;1;1;1;7;3;466;2;2;2;0;0;1;0;0
59;1;1;2;2;85;757;1;1;1;8;4;466;2;2;1;0;0;0;1;1
60;1;1;2;2;362;5;0;1;1;5;1;45;2;2;1;0;1;0;1;1
61;1;1;2;2;367;12;0;1;1;5;1;57;1;2;5;0;1;0;1;0
62;1;1;2;2;367;12;0;1;1;5;1;28;2;2;4;0;1;0;1;0
63;1;1;2;2;367;12;0;1;1;8;4;32;2;2;3;0;1;0;1;1
64;1;1;2;2;373;185;1;1;1;6;2;48;1;2;3;0;0;1;0;1
65;1;1;2;2;373;185;1;1;1;5;1;29;2;2;2;0;0;1;1;1
66;1;1;2;2;373;185;1;1;1;5;1;58;2;2;1;0;1;0;1;1
67;1;1;2;2;373;185;1;1;1;5;1;27;2;2;3;0;1;0;0;1
68;1;1;2;2;386;104;1;1;1;1;1;24;2;2;4;0;0;0;0;0
69;1;1;2;2;3210;0;1;1;1;9;1;47;2;2;2;0;0;0;0;0
70;1;1;2;2;3311;5;1;1;1;5;1;22;2;4;2;0;0;0;0;0
71;1;1;2;2;3567;0;1;1;1;9;1;41;2;3;2;0;0;0;0;0
72;1;1;2;2;5348;42;1;1;1;5;1;59;2;2;1;0;0;0;0;0
73;1;1;2;3;364;1;0;1;1;9;1;30;2;2;5;0;0;0;0;0
74;1;1;2;3;431;48;1;1;1;9;1;47;1;1;1;0;0;1;0;0
75;1;1;2;3;431;48;1;1;1;12;4;31;2;1;5;0;1;1;1;1
76;1;1;2;3;431;48;1;1;1;13;1;16;2;1;5;0;0;1;1;1
